2,1.5,984,1964,1,105000,41523,115000,4.49,105000
2,2,996,1973,1,108000,40931,108000,3.92,108000
4,2.75,1290,1962,2,165000,41006,165000,3.91,164000
2,2,952,1973,1,120000,41015,76500,3.91,72000
2,2,1065,1972,1,76000,41074,67000,3.68,64900
2,1.5,1119,1983,2,180000,41481,190000,4.37,180000
2,1.75,874,1972,2,139000,41479,159000,4.37,139000
2,1.5,973,1972,1,127000,41443,125000,4.07,135000
2,2,1353,1964,2,189950,41330,202500,3.53,189950
3,2.5,1591,1992,2,160000,41092,150000,3.55,160000
2,2,1027,1964,1,75000,41157,91000,3.5,75000
3,2,1123,1963,2,175000,41508,195000,4.46,175000
2,2,958,1965,2,71300,41159,71300,3.5,71300
2,2,976,1961,1,64900,41204,56000,3.38,64900
2,1.75,1031,1983,2,75000,41430,125000,4.07,125000
2,2,1268,1980,2,110000,41333,110000,3.53,110000
2,1.75,926,1964,1,80000,41397,80000,3.54,80000
1,1,804,1965,1,70000,41486,70000,4.37,70000
2,2.25,1086,1981,2,110000,41501,155000,4.46,110000
2,2,985,1971,2,120700,40877,80000,3.99,90000
3,2,1288,1988,2,128300,41451,128000,4.07,128300
2,2,992,1971,2,174900,41453,180000,4.07,174900
2,2,943,1964,2,96500,41479,94500,4.37,94000
2,2,938,1964,4,95000,41516,95000,4.46,95000
2,2,1025,1981,2,115000,41516,134000,4.46,115000
2,1.5,952,1973,2,90000,41394,95000,3.45,76000
2,1.5,1059,1973,2,155900,41388,140000,3.45,149900
1,1,670,1972,1,50000,41514,55000,4.46,70000
2,2,1121,1964,2,185000,41514,193000,4.46,185000
2,1.5,986,1972,2,70000,41320,85000,3.53,70000
2,2.25,1164,1983,2,168000,40994,165000,3.95,165000
2,1.75,882,1987,2,128900,41281,116000,3.41,128900
2,3,1148,1983,2,189000,41498,189000,4.46,189000
2,2,944,1965,0,124000,40994,63799,3.95,70400
3,2,1445,1964,2,277900,41352,270000,3.57,277900
2,3,1632,1966,4,235000,41443,265000,4.07,265000
1,1,941,1989,1,157900,41449,157900,4.07,157900
3,1.75,1595,1964,2,245000,41452,270000,4.07,245000
3,2.5,1274,1990,2,160000,41516,185000,4.46,160000
3,2.5,1364,1986,2,325000,41248,250000,3.35,266800
3,2.5,1231,1983,1,119900,41334,141000,3.57,119900
2,2,840,1962,1,119000,41408,120000,3.54,119000
1,2,868,1982,1,59000,41479,69700,4.37,59000
1,2,868,1982,2,99000,41486,105000,4.37,99000
1,1,635,1959,1,60600,41389,53100,3.45,46750
2,3,893,1989,2,182900,41402,182900,3.54,182900
2,2,954,1985,2,184900,41418,175000,3.54,184900
3,1.75,1199,1986,3,134250,41409,134250,3.54,134250
2,1,856,1962,2,80000,41383,105000,3.45,80000
2,1.5,1178,1982,2,98000,41257,98000,3.35,98000
2,1.75,1104,1964,1,135000,41243,140000,3.35,140000
2,3,1051,1989,2,176900,41397,176900,3.54,156900
3,2,1086,1989,2,217000,41414,161000,3.54,115000
2,1.75,1094,1961,1,90000,41226,105000,3.35,90000
3,1.5,1493,1964,2,269900,41453,290500,4.07,269900
3,3,1654,1966,2,295000,41467,290000,4.37,295000
2,2,1128,1986,2,156000,41439,157000,4.07,156000
1,2,698,1981,1,109000,41407,120000,3.54,109000
2,2,1252,1964,2,88000,41439,105000,4.07,88000
1,1,714,1972,1,65000,41187,82000,3.38,82000
2,2,926,1970,1,75100,41201,75100,3.38,75100
2,2,1155,1963,1,89900,41205,78000,3.38,74900
1,1,670,1972,1,59000,41221,70000,3.35,59000
2,2,988,1969,1,109950,41288,115000,3.41,109950
2,2,869,1990,2,110000,41292,125500,3.41,110000
3,2,1199,1987,1,150000,41334,157500,3.57,150000
2,1.5,1268,1980,2,109900,41131,95500,3.6,99900
3,3,1503,1999,2,199900,41005,215000,3.91,199900
3,3,1215,1979,2,140800,40877,118000,3.99,117900
1,1,684,1972,1,65600,40884,65600,3.96,65600
2,2.5,1721,1964,2,274900,40886,239900,3.96,239900
2,2,1186,1989,1,125000,40914,141000,3.92,125000
1,1,701,1989,1,99900,40989,52695,3.95,59900
2,2,1226,1964,2,77000,40865,77000,3.99,77000
2,2,1186,1989,2,120000,40865,120000,3.99,120000
2,2,1347,1988,2,209900,40948,140000,3.89,139900
2,2,1128,1987,0,215000,40995,135199,3.95,150000
2,2,1235,1964,1,83900,41012,65000,3.91,69900
1,1,793,1961,1,69500,40987,60000,3.95,62500
2,1.5,985,1964,1,115900,41124,111000,3.6,109900
2,2.5,1036,1990,1,145000,40869,145501,3.99,145000
3,2,1072,1989,2,115000,41393,115000,3.45,115000
3,2,1248,1990,2,179000,41334,176000,3.57,179000
3,3,1465,1988,2,158000,40975,158000,3.95,158000
2,2,932,1984,2,75000,41247,85000,3.35,75000
2,2,1041,1986,1,185000,41246,155000,3.35,155000
2,2,944,1965,1,64000,41261,80800,3.35,80800
2,3,1080,1984,2,169950,41313,170000,3.53,169950
1,1,941,1989,2,121000,41326,125000,3.53,121000
2,2.5,1263,1983,2,160000,41325,140000,3.53,160000
1,1,648,1959,1,69900,41257,69900,3.35,69900
2,2,1031,1983,2,79000,41298,80000,3.41,79000
2,1,856,1962,1,108900,41305,112000,3.41,108900
3,3,1174,1989,2,155900,41305,134000,3.41,155900
2,1.5,1178,1982,2,70000,41123,75000,3.6,70000
2,2,1044,1963,2,90000,41390,100000,3.45,90000
1,1,670,1972,1,69000,41394,68000,3.45,65000
2,1.75,1193,1964,2,219000,41085,150000,3.68,149900
1,1,726,1965,1,50000,41341,69100,3.57,50000
2,2,852,1964,2,90000,41372,120000,3.45,120000
2,2,987,1972,2,149000,41354,149000,3.57,149000
1,1,670,1972,1,72500,41374,80000,3.45,72500
2,2,1031,1983,2,129000,41369,130000,3.45,130000
2,2,1031,1983,2,125000,41376,111000,3.45,105000
2,2,952,1987,1,159000,41352,165000,3.57,159000
3,1.25,1493,1966,4,275500,41359,288000,3.57,275500
2,2,926,1964,1,80000,41354,75000,3.57,80000
2,2.5,1050,1981,2,124900,40904,87500,3.96,89900
1,1,670,1972,1,70000,40918,65000,3.92,70000
2,1.75,1038,1989,1,101900,41067,77000,3.68,101900
2,2,968,1973,1,99900,40904,76500,3.96,74900
2,2.25,1070,1981,2,119900,40918,115000,3.92,119900
2,3,1086,1981,2,104900,40947,112000,3.89,104900
2,1,856,1962,1,78000,40913,88000,3.92,78000
2,1,856,1962,1,89650,40947,85000,3.89,81500
1,1,769,1963,1,79900,40962,74900,3.89,79900
2,3,957,1982,2,119900,41022,100000,3.91,102100
2,2,841,1960,1,92500,41093,105000,3.55,92500
1,1,625,1960,1,50500,41106,60000,3.55,50500
2,2.5,893,1989,2,119000,41120,95000,3.55,95000
2,1.5,992,1973,1,100000,41018,95000,3.91,100000
2,2,1041,1986,0,142900,41131,162000,3.6,142900
1,1,638,1959,1,60000,41121,58000,3.55,60000
2,2,1258,1989,2,149900,41141,125000,3.6,134900
2,2.5,1115,1986,2,135000,41144,145000,3.6,135000
2,1,952,1987,1,122900,41152,137000,3.6,122900
2,2,938,1964,1,93500,40828,93500,4.07,84500
2,1.75,952,1986,2,158974,40994,140000,3.95,149500
2,1.5,1266,1980,1,149900,40907,117500,3.96,120000
3,2,1158,1989,2,159000,41082,164000,3.68,164000
2,2,948,1969,1,89000,41088,75000,3.68,75000
2,2,1119,1983,2,131000,41096,113199,3.55,115739
3,2,1158,1989,2,119300,41092,100000,3.55,99900
2,2,974,1964,2,113900,41113,120000,3.55,113900
2,2,992,1973,1,80000,41116,100000,3.55,80000
2,2,959,1969,1,99000,41129,102500,3.6,99000
2,2,1082,1964,2,102900,41135,94000,3.6,95100
2,2,916,1964,2,105000,41141,102000,3.6,105000
1,1,814,1983,2,74797,41143,75000,3.6,74797
2,2,921,1964,2,125900,41141,120000,3.6,125900
2,2,1163,1981,2,102000,41149,112000,3.6,102000
2,1,922,1963,1,60000,41143,55000,3.6,60000
2,1,840,1972,2,84900,41121,84900,3.55,84900
3,2,1415,1983,1,99900,41165,121000,3.5,99900
2,2,906,1965,1,70900,41158,73000,3.5,70900
3,3,1541,1964,2,215000,41173,200000,3.5,215000
2,1.75,1267,2004,3,130000,40904,135000,3.96,130000
2,2.25,893,1989,4,225000,40848,121000,3.99,121000
2,2,992,1989,1,155900,40842,146000,4.07,155900
2,2,1182,1969,0,115200,41081,80224,3.68,85025
2,1,845,1986,2,155000,41088,139040,3.68,135000
2,2,992,1989,1,124900,41093,130000,3.55,124900
3,3,1317,1992,1,102000,41096,134094,3.55,102000
2,2,1128,1987,2,199950,41099,150000,3.55,179950
2,2,836,1970,2,68700,41106,90000,3.55,68700
1,1,701,1989,1,67000,41106,62000,3.55,62000
2,2,1020,1968,2,125000,41107,100000,3.55,125000
1,1,640,1959,2,60000,41066,50000,3.68,60000
2,2,1195,1964,1,169500,40882,149000,3.96,149000
2,2,850,1987,1,94000,40868,94000,3.99,94000
2,1.75,954,1985,1,114900,40875,110000,3.99,114900
2,2,948,1969,2,99000,40893,95000,3.96,99000
2,2,992,1971,2,115900,41018,95000,3.91,115900
2,1.75,987,1972,1,115000,40875,92000,3.99,92000
2,2,916,1964,2,120000,41017,86000,3.91,110000
2,2,926,1964,2,134900,41016,82000,3.91,115000
2,1.5,1052,1973,1,100000,40870,113000,3.99,100000
2,2,1235,1964,2,94900,40893,60000,3.96,94900
2,2,992,1989,2,149900,41277,153000,3.41,149900